Blockno,UnixTimestamp,Value_IN(ETH),Value_IN_USD,TxnFee_ETH,TxnFee_USD,HistoricalPrice_ETH,hour,dayofweek,GasEfficiency,recon_error,autoencoder_anomaly
19557420,1711931195,0.0,0.0,0.0042908188472495,13.2302445188367,3505.52,0,0,13230244.5188367,0.29415423,0
19557420,1711931195,0.2,701.104,0.0026133562619968,8.05798230871799,3505.52,0,0,0.0114932767424301,0.29759458,0
19557421,1711931207,0.015,52.5828,0.0026243796470315,8.09197164376716,3505.52,0,0,0.1538900836371794,0.30804777,0
19557421,1711931207,0.3,1051.656,0.0034274145072655,10.5680369208776,3505.52,0,0,0.0100489484306927,0.29167092,0
19557423,1711931231,0.0,0.0,0.0066379320410235,20.4672970657933,3505.52,0,0,20467297.065793306,0.36538854,0
19557426,1711931267,0.0,0.0,0.004016869247555,12.3855525570404,3505.52,0,0,12385552.5570404,0.29013273,0
19557426,1711931267,0.15,525.828,0.0023709645628798,7.31059548983403,3505.52,0,0,0.0139030167201651,0.30110618,0
19557427,1711931279,0.0,0.0,0.0005289072076456,1.63082430977316,3505.52,0,0,1630824.30977316,0.31736284,0
19557428,1711931291,0.0,0.0,0.0044279436099567,13.6530528928992,3505.52,0,0,13653052.8928992,0.29650623,0
19557431,1711931327,0.0,0.0,0.0057782192402434,17.8164719027629,3505.52,0,0,17816471.9027629,0.33167732,0
19557432,1711931339,0.0,0.0,0.0040667932765572,12.5394875364879,3505.52,0,0,12539487.536487902,0.2907983,0
19557432,1711931339,0.0,0.0,0.0021974687010622,6.77564103089071,3505.52,0,0,6775641.03089071,0.28633344,0
19557432,1711931339,0.0,0.0,0.0006103383358807,1.88190779205191,3505.52,0,0,1881907.7920519104,0.31508443,0
19557432,1711931339,1.055,3698.3236,0.0006061922776749,1.86912390025756,3505.52,0,0,0.000505397607649,0.3830116,0
19557433,1711931351,1.067,3740.38984,0.0024452159946488,7.53954120699172,3505.52,0,0,0.0020157100001576,0.3694023,0
19557433,1711931351,0.0,0.0,0.0008262092533868,2.54752084279668,3505.52,0,0,2547520.84279668,0.30942807,0
19557433,1711931351,0.0,0.0,0.0006059747332803,1.86845312723333,3505.52,0,0,1868453.1272333304,0.31520447,0
19557434,1711931363,0.0,0.0,0.0021854652821232,6.73862987444755,3505.52,0,0,6738629.874447551,0.28644055,0
19557437,1711931399,0.0,0.0,0.0023415439485121,7.21988042218927,3505.52,0,0,7219880.42218927,0.28518245,0
19557438,1711931411,0.1,350.552,0.0025526557182712,7.87081919032384,3505.52,0,0,0.0224526437386498,0.30248418,0
19557440,1711931435,0.0,0.0,0.0027789079122965,8.56844170864507,3505.52,0,0,8568441.70864507,0.28321806,0
19557443,1711931471,0.0,0.0,0.0030503390830865,9.40536838567956,3505.52,0,0,9405368.385679562,0.2831561,0
19557444,1711931483,0.2,701.104,0.002944040320248,9.07760842319481,3505.52,0,0,0.0129475918126942,0.29564375,0
19557444,1711931483,0.27915,978.565908,0.0028316510194105,8.73106898997364,3505.52,0,0,0.0089223106074642,0.2947574,0
19557444,1711931483,0.3,1051.656,0.0021844701006877,6.73556134738998,3505.52,0,0,0.0064047191676605,0.29909268,0
19557446,1711931507,0.0,0.0,0.006585494220397,20.305611100102,3505.52,0,0,20305611.100102,0.363077,0
19557449,1711931543,0.552,1935.04704,0.0018313836443752,5.64686002496102,3505.52,0,0,0.0029182029714599,0.3096816,0
19557449,1711931543,0.0,0.0,0.0063108607294613,19.4588104386222,3505.52,0,0,19458810.438622203,0.35151267,0
19557450,1711931555,0.1949362844213992,683.3530437649033,0.002138577,6.59405527000902,3505.52,0,0,0.0096495586293576,0.3010465,0
19557450,1711931555,0.0,0.0,0.0003838985403995,1.18370682630107,3505.52,0,0,1183706.82630107,0.32161653,0
19557450,1711931555,0.245,858.8524,0.0025031941162616,7.71831005111846,3505.52,0,0,0.0089867712334874,0.29719335,0
19557451,1711931567,0.0,0.0,0.0004182300148576,1.28956396405076,3505.52,0,0,1289563.96405076,0.3205867,0
19557452,1711931579,0.0,0.0,0.0035404073093334,10.9164371804657,3505.52,0,0,10916437.1804657,0.28528902,0
19557454,1711931603,0.188,659.03776,0.0030318033996702,9.34821574590342,3505.52,0,0,0.0141846435805419,0.29556346,0
19557455,1711931615,0.0,0.0,0.0043734719896438,13.4850959406876,3505.52,0,0,13485095.9406876,0.29554483,0
19557455,1711931615,0.0,0.0,0.0007337500274575,2.26243349452743,3505.52,0,0,2262433.49452743,0.31178248,0
19557455,1711931615,0.08,280.4416,0.002540181407619,7.83235609364987,3505.52,0,0,0.0279286527595093,0.30380175,0
19557455,1711931615,0.08,280.4416,0.002540181407619,7.83235609364987,3505.52,0,0,0.0279286527595093,0.30380175,0
19557455,1711931615,0.08,280.4416,0.002540181407619,7.83235609364987,3505.52,0,0,0.0279286527595093,0.30380175,0
19557455,1711931615,0.08,280.4416,0.002540181407619,7.83235609364987,3505.52,0,0,0.0279286527595093,0.30380175,0
19557455,1711931615,0.08,280.4416,0.002540181407619,7.83235609364987,3505.52,0,0,0.0279286527595093,0.30380175,0
19557455,1711931615,0.08,280.4416,0.002540181407619,7.83235609364987,3505.52,0,0,0.0279286527595093,0.30380175,0
19557456,1711931627,0.0,0.0,0.0023581801860065,7.27117633976582,3505.52,0,0,7271176.33976582,0.2850656,0
19557456,1711931627,0.0,0.0,0.0027685448629367,8.53648844241031,3505.52,0,0,8536488.44241031,0.28323793,0
19557458,1711931651,0.05,175.276,0.002454835259674,7.56920110010422,3505.52,0,0,0.0431844693906738,0.3064351,0
19557458,1711931651,0.05,175.276,0.002454835259674,7.56920110010422,3505.52,0,0,0.0431844693906738,0.3064351,0
19557459,1711931663,0.0,0.0,0.005335752222899,16.452175939828,3505.52,0,0,16452175.939828,0.317783,0
19557459,1711931663,0.0,0.0,0.0041209635323422,12.706515265972,3505.52,0,0,12706515.265972,0.29155445,0
19557461,1711931687,0.0,0.0,0.0042801518918865,13.1973541935283,3505.52,0,0,13197354.1935283,0.29398075,0
19557461,1711931687,0.0,0.0,0.0075097238026993,23.1553663101687,3505.52,0,0,23155366.3101687,0.4086775,0
19557461,1711931687,0.0995,348.79924,0.0024597019302304,7.58420691688332,3505.52,0,0,0.021743759806184,0.30313018,0
19557462,1711931699,0.0,0.0,0.0023713248345042,7.31170634579263,3505.52,0,0,7311706.345792631,0.28497565,0
19557462,1711931699,0.4,1402.208,0.002620757556056,8.08080334443281,3505.52,0,0,0.0057629134469849,0.2973459,0
19557463,1711931711,0.1,350.552,0.0028530529372972,8.79705933281787,3505.52,0,0,0.0250948769589761,0.30064347,0
19557464,1711931723,0.10325,361.94494,0.0027480411056095,8.47326747395388,3505.52,0,0,0.0234103768671099,0.3010706,0
19557466,1711931747,0.09975,349.67562000000004,0.0024817023204134,7.6520425799566,3505.52,0,0,0.0218832601428527,0.30296746,0
19557467,1711931759,0.0,0.0,0.0042470042075514,13.0951471359485,3505.52,0,0,13095147.1359485,0.29345042,0
19557467,1711931759,0.0,0.0,0.0031620979369459,9.7499639084321,3505.52,0,0,9749963.9084321,0.28338823,0
19557470,1711931795,0.0,0.0,0.0008920941895344,2.75066943666003,3505.52,0,0,2750669.4366600304,0.30781263,0
